kingdom,sciName,unitName1,author,rankID,sourceIdentifier,source,notes,nomenclaturalStatus,acceptance,acceptedStr,
Fungi,Lichinomycetidae,,,70,,,,Legitimate,1,Lichinomycetidae,
Fungi,Rhizocarpales,Lecanoromycetes,Miadlikowska et al.,100,mb:529144,,,Invalid,1,Rhizocarpales,
Fungi,Rhizocarpales,Lecanoromycetes,Miądl. & Lutzoni ex Miądl. & Lutzoni,100,mb:819267,,,Legitimate,1,Rhizocarpales,
Fungi,Umbilicariales,Lecanoromycetes,J.C. Wei & Q.M. Zhou,100,mb:90783,,,Legitimate,1,Umbilicariales,
Fungi,Lecanorineae,Lecanorales,"O.E. Erikss., Baral, Currah, K. Hansen, Kurtzman, Rambold & Laessøe",110,if:626710,,,,1,,
Fungi,Acoliaceae,Caliciales,Zopf,140,mb:80428,,,,1,,
Fungi,Acrocordiaceae,Monoblastiales,Oxner ex M.E. Barr,140,if:81845,,,,1,,
Fungi,Alectoriaceae,Lecanorales,(Hue) Tomaselli,140,mb:80439,,,Legitimate,1,,
Fungi,Anaptychiaceae,Caliciales,Körb.,140,mb:80454,,,,1,,
Fungi,Anapyreniaceae,Caliciales,Räsänen,140,mb:80455,,,,1,,
Fungi,Anziaceae,Lecanorales,M. Satô,140,mb:80463,,,,1,,
Fungi,Arthoniaceae,Arthoniales,Reichenbach,140,mb:80472,,,Legitimate,1,Arthoniaceae,
Fungi,Arthoniomycetaceae,Arthoniales,E.A. Thomas,140,mb:81886,,,,1,,
Fungi,Aspiciliaceae,Pertusariales,Kopach.,140,mb:82059,,,,1,,
Fungi,Aspiciliaceae,Pertusariales,Poelt,140,mb:80490,,,,1,,
Fungi,Astrotheliaceae,Trypetheliales,Zahlbr.,140,mb:81788,,,,1,,
Fungi,Bactrosporaceae,Arthoniales,Rabenh.,140,mb:80509,,,,1,,
Fungi,Bagliettoaceae,Verrucariales,Servít,140,mb:80511,,,,1,,
Fungi,Biatorellaceae,Lecanorales,M. Choisy,140,mb:80518,,,,1,,
Fungi,Blasteniaceae,Teloschistales,C.W. Dodge & G.E. Baker,140,mb:80520,,,,1,,
Fungi,Borreraceae,Teloschistales,M. Choisy,140,mb:80528,,,,1,,
Fungi,Bruceomycetaceae,Lecanorales,Rikkinen & A.R. Schmidt,140,mb:817090,,,,1,,
Fungi,Buelliaceae,Caliciales,Zahlbr.,140,mb:80537,,,,1,,
Fungi,Byssocaulaceae,Arthoniales,Zahlbr.,140,mb:81801,,,,1,,
Fungi,Caloplacaceae,Teloschistales,Zahlbr.,140,mb:80546,,,,1,,
Fungi,Caloplacomycetaceae,Teloschistales,E.A. Thomas,140,mb:81825,,,,1,,
Fungi,Catinariaceae,Lecanorales,Hale ex Hafellner,140,mb:81864,,,,1,,
Fungi,Celidiaceae,Arthoniales,J. Schröt.,140,mb:80562,,,,1,,
Fungi,Cenomycetaceae,Lecanorales,Chevall.,140,mb:80565,,,,1,,
Fungi,Cetradoniaceae,Lecanorales,J.C. Wei & Ahti,140,mb:82132,,,Legitimate,1,Cetradoniaceae,
Fungi,Cetrariaceae,Lecanorales,Schaer.,140,mb:80578,,,,1,,
Fungi,Chiodectonaceae,Arthoniales,Zahlbr.,140,mb:80586,,,,1,,
Fungi,Chrysothricaceae, Arthoniales,Zahlbruckner,140,mb:80592,,,Orthographic variant,1,Chrysothricaceae,
Fungi,Cladiaceae,Lecanorales,Filson,140,mb:80597,,,,1,,
Fungi,Cladoniomycetaceae,Lecanorales,E.A. Thomas,140,mb:81887,,,,1,,
Fungi,Clathrinaceae,Lecanorales,P.A. Duvign.,140,mb:80603,,,,1,,
Fungi,Coccotremataceae,Pertusariales,Henssen,140,mb:80617,,,,1,Coccotremataceae,
Fungi,Collematomycetaceae,Peltigerales,E.A. Thomas,140,mb:80625,,,,1,,
Fungi,Coniocarpaceae,Arthoniales,Rchb.,140,if:80628,,,,1,,
Fungi,Coniocybaceae,Coniocybales,Reichenbach,140,mb:80630,,,Legitimate,1,Coniocybaceae,
Fungi,Coniophyllaceae,Lecanorales,Zahlbr.,140,mb:81800,,,,1,,
Fungi,Corniculariaceae,Lecanorales,Schaer.,140,mb:80645,,,,1,,
Fungi,Crateroideaceae,Caliciales,Rchb.,140,if:80654,,,,1,,
Fungi,Cryptotheciaceae,Arthoniales,A.L. Sm.,140,mb:80665,,,,1,,
Fungi,Cryptotheliaceae,Trypetheliales,Walt. Watson,140,mb:80666,,,,1,,
Fungi,Cyanocephalidaceae,Thelocarpales,Locq.,140,mb:80346,,,,1,,
Fungi,Cyclocarpaceae,Caliciales,Hue,140,mb:80670,,,,1,,
Fungi,Cylindroroccellaceae,Arthoniales,Elenkin,140,mb:81686,,,,1,,
Fungi,Cypheliaceae,Caliciales,Zahlbr.,140,mb:80672,,,,1,,
Fungi,Cypheliomycetaceae,Caliciales,E.A. Thomas,140,mb:81824,,,,1,,
Fungi,Cystocoleaceae,Mycosphaerellales,Locquin,140,mb:80171,,,Invalid,1,,
Fungi,Dactylinaceae,Lecanorales,M. Choisy,140,mb:80679,,,,1,,
Fungi,Daohugouthallaceae,Fossil Lecanorales,"X.L. Wei, D. Ren & J.C. Wei",140,if:570853,,,,1,,
Fungi,Dermatinaceae,Arthoniales,Mattick,140,mb:80687,,,,1,,
Fungi,Dermatiscaceae,Caliciales,Poelt,140,mb:81679,,,,1,,
Fungi,Dermatocarpaceae,Verrucariales,Stizenb.,140,mb:81873,,,,1,,
Fungi,Dermatocarpomycetaceae,Verrucariales,E.A. Thomas,140,mb:81836,,,,1,,
Fungi,Dictyosporaceae,Verrucariales,Räsänen,140,mb:80699,,,,1,,
Fungi,Dirinaceae,Arthoniales,Zahlbr.,140,mb:80710,,,,1,,
Fungi,Endocarpaceae,Verrucariales,Fée ex Zenker,140,mb:82064,,,,1,,
Fungi,Endocarpaceae,Verrucariales,Rchb.,140,if:80732,,,,1,,
Fungi,Endopyreniaceae,Verrucariales,Zahlbr.,140,mb:81799,,,,1,,
Fungi,Ephebaceae,Lichinales,Th. Fr.,140,mb:80744,,,,1,,
Fungi,Eriomycetaceae,Monoblastiales,Huanraluek & Hyde,140,mb:557099,,,Legitimate,1,Eriomycetaceae,
Fungi,Everniaceae,Lecanorales,Tomas.,140,mb:80764,,,,1,,
Fungi,Globigeraceae,Verrucariales,Dumort.,140,mb:80803,,,,1,,
Fungi,Glomerillaceae,Verrucariales,Norman,140,mb:81663,,,,1,,
Fungi,Glyphidaceae,Arthoniales,J.W. Griff. & Henfr.,140,mb:816496,,,,1,,
Fungi,Glypholeciaceae,Acarosporales,M. Choisy,140,mb:80809,,,,1,,
Fungi,Glyphopeltidaceae,Lecanorales,Evankow & Timdal,140,if:856125,,,,1,Glyphopeltidaceae,
Fungi,Gyrophoraceae,Umbilicariales,Zenker,140,mb:80827,,,,1,,
Fungi,Gyrophoromycetaceae,Umbilicariales,E.A. Thomas,140,mb:81816,,,,1,,
Fungi,Gyrothalamaceae,Umbilicariales,Rchb.,140,if:80828,,,,1,,
Fungi,Gyrotheciaceae,Rhizocarpales,M. Choisy,140,mb:80829,,,,1,,
Fungi,Haplographaceae,Baeomycetales,M. Choisy,140,mb:80834,,,,1,,
Fungi,Herpothallaceae,Arthoniales,Tomas.,140,mb:80855,,,,1,,
Fungi,Heterodeaceae,Lecanorales,Filson,140,mb:81659,,,Legitimate,1,,
Fungi,Heterotheciaceae,Lecideales,M. Choisy,140,mb:80860,,,,1,,
Fungi,Huiliaceae,Lecideales,Poelt & Vězda,140,if:80866,,,,1,,
Fungi,Hyalomonomeraceae,Baeomycetales,Räsänen,140,mb:80868,,,,1,,
Fungi,Hyalophragmiaceae,Trypetheliales,Räsänen,140,mb:80869,,,,1,,
Fungi,Hyalosporaceae,Verrucariales,Räsänen,140,mb:80872,,,,1,,
Fungi,Hypochnaceae,Arthoniales,J. Schröt.,140,mb:80891,,,,1,,
Fungi,Hypogymniaceae,Lecanorales,Poelt ex Elix,140,mb:80896,,,,1,,
Fungi,Imbricariaceae,Caliciales,Chevall.,140,mb:80905,,,,1,,
Fungi,Isidiaceae,Pertusariales,Rchb.,140,if:80910,,,,1,,
